fragment,mass,Intensities
,5961.992193,0.00919
,5962.994592,0.003565
a18+CMCT-A,5818.917515,0.0815385
,5819.920268,0.184231
,5820.922902,0.228313
,5821.925471,0.202354
,5822.927994,0.142535
,5823.930482,0.084404
,5824.932944,0.043502
,5825.935384,0.019979
,5826.937806,0.008315
,5827.940212,0.003176
a18+CMCT-G,5802.9226,0.0817369
,5803.925353,0.184649
,5804.927988,0.228631
,5805.930557,0.20238
,5806.933081,0.142335
,5807.93557,0.084139
,5808.938033,0.043284
,5809.940474,0.019838
,5810.942896,0.008239
,5811.945303,0.00314
a18-A,5567.717752,0.0964578
,5568.720487,0.201851
,5569.723089,0.234961
,5570.725626,0.197042
,5571.728118,0.131994
,5572.730577,0.074612
,5573.733011,0.036817
,5574.735423,0.016227
,5575.737819,0.006494
,5576.7402,0.002389
a18-G,5551.722838,0.0966926
,5552.725572,0.202305
,5553.728175,0.235257
,5554.730713,0.197016
,5555.733205,0.131757
,5556.735665,0.074339
,5557.738099,0.036608
,5558.740513,0.016099
,5559.742909,0.006428
,5560.74529,0.002359
a19,6047.819682,0.0775556
,6048.822375,0.178168
,6049.824958,0.224796
,6050.827481,0.20299
,6051.829963,0.145752
,6052.832414,0.088014
,6053.834841,0.046274
,6054.837247,0.021684
,6055.839638,0.009211
,6056.842014,0.003591
a19+CMCT,6299.019445,0.0655635
,6300.022158,0.161555
,6301.02477,0.216152
,6302.027323,0.205643
,6303.029834,0.154862
,6304.032313,0.097744
,6305.034767,0.053569
,6306.0372,0.02611
,6307.039615,0.011515
,6308.042016,0.004654
,6309.044403,0.001742
a19+CMCT-A,6163.96495,0.0705314
,6164.96769,0.168623
,6165.97032,0.219996
,6166.972887,0.204688
,6167.975409,0.151057
,6168.977898,0.093579
,6169.98036,0.0504
,6170.982801,0.024165
,6171.985224,0.010492
,6172.987631,0.004178
a19+CMCT-G,6147.970035,0.070703
,6148.972775,0.169007
,6149.975406,0.220322
,6150.977973,0.204756
,6151.980496,0.150894
,6152.982986,0.093329
,6153.985449,0.050177
,6154.98789,0.024013
,6155.990314,0.010405
,6156.992722,0.004135
a19-A,5912.765187,0.0834351
,5913.767909,0.185555
,5914.770509,0.228032
,5915.773046,0.201213
,5916.775539,0.141497
,5917.777999,0.083823
,5918.780434,0.043291
,5919.782849,0.019949
,5920.785246,0.00834
,5921.787629,0.003203
a19-G,5896.770272,0.0836382
,5897.772994,0.185975
,5898.775595,0.228344
,5899.778132,0.201234
,5900.780626,0.141296
,5901.783087,0.083561
,5902.785523,0.043075
,5903.787938,0.01981
,5904.790336,0.008264
,5905.79272,0.003167
a20,6376.872202,0.0672544
,6377.874886,0.163309
,6378.877467,0.21653
,6379.879991,0.20481
,6380.882475,0.153694
,6381.884928,0.096836
,6382.887357,0.053051
,6383.889767,0.025877
,6384.89216,0.011431
,6385.894539,0.004632
,6386.896906,0.001739
a20+CMCT,6628.071965,0.0568509
,6629.074668,0.14753
,6630.077277,0.206921
,6631.07983,0.205801
,6632.082341,0.161703
,6633.084821,0.10633
,6634.087276,0.060641
,6635.089711,0.030727
,6636.092129,0.014076
,6637.094531,0.005906
,6638.096921,0.002293
a20+CMCT-A,6493.01747,0.061158
,6494.020199,0.154221
,6495.022825,0.211142
,6496.025391,0.205541
,6497.027913,0.158373
,6498.030403,0.102276
,6499.032867,0.057351
,6500.035309,0.028601
,6501.037734,0.012905
,6502.040143,0.005337
,6503.042539,0.002043
a20+CMCT-G,6477.022555,0.0613068
,6478.025284,0.154573
,6479.027911,0.211471
,6480.030477,0.205643
,6481.033,0.158246
,6482.035491,0.102043
,6483.037955,0.057127
,6484.040398,0.028439
,6485.042823,0.012808
,6486.045233,0.005287
,6487.04763,0.00202
a20-A,6241.817707,0.0723469
,6242.820418,0.170368
,6243.823016,0.220259
,6244.825553,0.203759
,6245.828048,0.149861
,6246.83051,0.092687
,6247.832948,0.049908
,6248.835365,0.023951
,6249.837765,0.010418
,6250.84015,0.00416
a20-G,6225.822793,0.072523
,6226.825503,0.170755
,6227.828102,0.220582
,6228.830639,0.20382
,6229.833134,0.149695
,6230.835598,0.092437
,6231.838036,0.049687
,6232.840454,0.0238
,6233.842854,0.010332
,6234.84524,0.004117
a21,6705.924723,0.0583142
,6706.927397,0.149235
,6707.929978,0.207467
,6708.932502,0.205146
,6709.934987,0.160598
,6710.937443,0.105391
,6711.939874,0.060063
,6712.942286,0.030447
,6713.944682,0.013966
,6714.947064,0.005872
,6715.949433,0.002286
a21+CMCT,6957.124485,0.0492978
,6958.127179,0.134384
,6959.129786,0.197178
,6960.132337,0.204637
,6961.134849,0.167472
,6962.13733,0.114541
,6963.139787,0.067869
,6964.142224,0.035697
,6965.144643,0.016961
,6966.147047,0.007377
,6967.149439,0.002967
a21+CMCT-A,6822.06999,0.0530305
,6823.072709,0.14067
,6824.075332,0.201666
,6825.077896,0.205007
,6826.080419,0.164635
,6827.082909,0.110647
,6828.085374,0.064495
,6829.087818,0.033401
,6830.090245,0.015639
,6831.092656,0.006707
,6832.095054,0.002661
a21+CMCT-G,6806.075075,0.0531596
,6807.077794,0.140992
,6808.080417,0.201994
,6809.082982,0.20514
,6810.085505,0.164542
,6811.087997,0.110433
,6812.090462,0.064272
,6813.092907,0.033231
,6814.095334,0.015532
,6815.097746,0.006649
,6816.100144,0.002633
a21-A,6570.870227,0.0627293
,6571.872928,0.155933
,6572.875524,0.211591
,6573.878062,0.204789
,6574.880557,0.157231
,6575.883022,0.101347
,6576.885462,0.056798
,6577.887881,0.02834
,6578.890284,0.012806
,6579.892672,0.005308
,6580.895048,0.002038
a21-G,6554.875313,0.062882
,6555.878013,0.156289
,6556.88061,0.211917
,6557.883148,0.204886
,6558.885644,0.157101
,6559.888109,0.101113
,6560.890549,0.056575
,6561.89297,0.02818
,6562.895373,0.01271
,6563.897762,0.005258
,6564.900138,0.002015
a22,7050.972157,0.0504396
,7051.974825,0.135706
,7052.977403,0.197529
,7053.979928,0.204004
,7054.982414,0.166516
,7055.984871,0.113787
,7056.987304,0.067456
,7057.989718,0.035539
,7058.992116,0.016931
,7059.9945,0.007389
,7060.996871,0.002984
a22+CMCT,7302.17192,0.0426382
,7303.174606,0.121829
,7304.17721,0.186758
,7305.17976,0.202079
,7306.182272,0.172165
,7307.184754,0.122443
,7308.187211,0.075372
,7309.189649,0.041154
,7310.192069,0.020286
,7311.194475,0.009148
,7312.196868,0.003813
a22+CMCT-A,7167.117425,0.0458666
,7168.120134,0.127689
