spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2409_90_6.csv
limit_error:	6
noise_limit:	1500000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
999.11807	3	4299771.463561689	c09+DEPC+H2O	-3.05	1	
999.4552655300001	3	2172484.3904891224	c09+DEPC+H2O	0.0	1	
999.7894018633333	3	897503.7482607766	c09+DEPC+H2O	0.0	1	
1000.1235291966667	3	317729.21208445553	c09+DEPC+H2O	0.0	1	
1000.4576485300001	3	99354.80477709578	c09+DEPC+H2O	0.0	1	
1651.20345	2	2016397.2361458812	c10+DEPC+H2O	4.92	1	
1651.70856	2	2469808.9454122563	c10+DEPC+H2O	7.17	1	
1652.1979840299998	2	1819157.4745991633	c10+DEPC+H2O	0.0	1	
1652.6992245299998	2	993041.1693566474	c10+DEPC+H2O	0.0	1	
1653.20044003	2	442017.35972409236	c10+DEPC+H2O	0.0	1	
1653.7016405299998	2	168330.88354864178	c10+DEPC+H2O	0.0	1	
1654.20282903	2	56560.32725188097	c10+DEPC+H2O	0.0	1	
1654.7040080299998	2	17111.895617730086	c10+DEPC+H2O	0.0	1	
1172.13141	3	3848525.7023813105	c11	0.36	1	
1172.46734	3	5016294.152439574	c11	1.79	1	
1172.80021	3	3884477.0128958253	c11	0.67	1	
1173.12561	3	2222292.017447142	c11	-6.8	1	
1173.4677291966666	3	1033938.8779681891	c11	0.0	1	
1173.80186353	3	410912.4911491634	c11	0.0	1	
1174.1359898633332	3	143908.30680360482	c11	0.0	1	
1174.4701098633332	3	45348.48803976365	c11	0.0	1	
1202.14338	3	13149938.798013207	c11+DEPC+H2O	1.52	1	
1202.47789	3	17594162.129563536	c11+DEPC+H2O	1.73	1	
1202.81051	3	13951131.164549377	c11+DEPC+H2O	0.42	0	
1203.14321	3	8167127.478392574	c11+DEPC+H2O	-0.79	1	
1203.47724	3	3886187.548615493	c11+DEPC+H2O	-0.89	1	
1203.81346	3	1579068.6724409512	c11+DEPC+H2O	0.84	1	
1204.1465801966665	3	565216.3251993007	c11+DEPC+H2O	0.0	1	
