spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1411_1_6.csv
limit_error:	6
noise_limit:	2000000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev*n 	formula 
1412.95677	4	11256633.302617006	c17+CMCT	1.56	1	
1412.95677	4	14719063.478895217	w17+CMCT	-3.58	1	
1413.69363	2	7707767.500345632	a09	6.08	0	
1413.69363	2	73606901.62845358	y09	-4.14	1	
1425.91524	4	5521822.380291026	w18	-0.69	1	
1425.91524	4	6862081.923785884	c18	4.37	1	
1426.42014	4	6914653.550934946	c18	6.9	1	
1426.42014	4	13846325.486681102	w18	1.8	1	
1426.67099	4	4715343.1077906415	c18	7.05	1	
1426.67099	4	11806756.151365653	w18	1.95	1	
1438.36094	6	120538777.79606931	RNA+CMCT-G	-1.96	1	
1438.36094	6	542092247.6804295	RNA+CMCT-A-H2O	-0.78	1	
1438.5284	6	396973322.5554103	RNA+CMCT-G	-1.73	1	
1438.5284	6	673373394.579061	RNA+CMCT-A-H2O	-0.54	1	
1438.6956	6	657860526.2739121	RNA+CMCT-A-H2O	-0.46	1	
1438.6956	6	699722831.6321318	RNA+CMCT-G	-1.67	1	
1438.86274	6	536055782.54459393	RNA+CMCT-A-H2O	-0.43	1	
1438.86274	6	869228704.9867697	RNA+CMCT-G	-1.65	1	
1439.02959	6	377818633.00460756	RNA+CMCT-A-H2O	-0.6	1	
1439.02959	6	849245725.4706264	RNA+CMCT-G	-1.82	1	
1439.1969	6	236077717.35321626	RNA+CMCT-A-H2O	-0.44	1	
1439.1969	6	692034875.9153572	RNA+CMCT-G	-1.67	1	
1439.36399	6	133118972.46469757	RNA+CMCT-A-H2O	-0.43	1	
1439.36399	6	487778682.0079019	RNA+CMCT-G	-1.67	1	
1439.5314	6	68647756.96573423	RNA+CMCT-A-H2O	-0.2	1	
1439.5314	6	304798679.7099496	RNA+CMCT-G	-1.44	1	
1439.69939	6	32712558.472538836	RNA+CMCT-A-H2O	0.44	1	
1439.69939	6	171873592.55498034	RNA+CMCT-G	-0.81	1	
1439.86759	6	14525819.704536498	RNA+CMCT-A-H2O	1.22	1	
1439.86759	6	88637327.41362375	RNA+CMCT-G	-0.03	1	
1440.0369	6	6051197.204501386	RNA+CMCT-A-H2O	2.77	1	
1440.0369	6	42238589.10811743	RNA+CMCT-G	1.52	1	
1450.94395	4	3873417.6667793235	w18+CMCT-G	-6.79	1	
1450.94395	4	9500253.278677737	c18+CMCT-G	-1.83	1	
1451.19943	4	8575640.199884772	w18+CMCT-G	-3.5	0	
1451.19943	4	11617038.784552684	c18+CMCT-G	1.49	1	
1451.19943	5	8863698.768098723	c22+CMCT	0.62	1	
1451.45044	4	10205950.081464566	c18+CMCT-G	1.73	1	
1451.45044	4	10492274.960546639	w18+CMCT-G	-3.26	1	
1451.69857	4	7148591.224773646	c18+CMCT-G	0.0	1	
1451.69857	4	9217882.097141927	w18+CMCT-G	-5.0	1	
1451.956	4	4219393.046172191	c18+CMCT-G	4.69	1	
1451.956	4	6454067.801960733	w18+CMCT-G	-0.32	1	
1452.20963	4	2171667.953272496	c18+CMCT-G	6.76	1	
1452.20963	4	3806895.4968327405	w18+CMCT-G	1.74	1	
1452.20963	5	1865689.5952304532	c22+CMCT	5.9	1	
1454.66719	4	8941918.825277673	y19-G	-5.26	1	
1454.66719	4	11923820.871983891	a19-G	-0.28	1	
1454.91832	4	10390142.050202684	a19-G	0.06	1	
1454.91832	4	10819876.525508652	y19-G	-4.93	1	
1455.16924	4	7232727.144165176	a19-G	0.25	1	
1455.16924	4	9428097.800302926	y19-G	-4.74	1	
1455.67265	4	2179063.1897786246	a19-G	1.75	1	
1455.67265	4	3851405.5746930204	y19-G	-3.26	1	
1461.96979	5	8011340.051001024	w23	0.63	1	
1461.96979	5	32244151.087488174	c23	2.03	1	
1462.17319	5	21759138.972033244	w23	2.58	1	
1462.17319	5	34004673.124239236	c23	4.0	1	
1462.37499	5	28428757.861942198	c23	4.88	1	
1462.37499	5	32205441.936225686	w23	3.44	1	
1462.37499	6	8824419.965818778	RNA+CMCT-H2O	0.06	1	
1462.57585	5	19943801.582371898	c23	5.13	1	
1462.57585	5	33965834.93671516	w23	3.68	1	
1481.99593	5	2688215.430132434	w23+CMCT-G	-2.03	1	
1481.99593	5	13584277.586045919	c23+CMCT-G	-0.66	1	
1482.19794	5	7551544.373086384	w23+CMCT-G	-1.05	1	
1482.19794	5	14687940.074526452	c23+CMCT-G	0.34	1	
1482.39862	5	11496423.61609362	w23+CMCT-G	-0.96	1	
1482.39862	5	12561020.181809915	c23+CMCT-G	0.45	1	
1482.60034	5	8998400.016588455	c23+CMCT-G	1.27	1	
1482.60034	5	12431277.973399539	w23+CMCT-G	-0.15	1	
1482.80171	5	5594976.049186907	c23+CMCT-G	1.86	1	
1482.80171	5	10631733.009037148	w23+CMCT-G	0.43	1	
1483.0038	5	3092954.7005011477	c23+CMCT-G	2.93	1	
1483.0038	5	7616678.686371047	w23+CMCT-G	1.49	1	
1483.20678	5	1546624.0748568594	c23+CMCT-G	4.61	1	
1483.20678	5	4736115.233652118	w23+CMCT-G	3.16	1	
1488.70778	4	19333856.254030153	w18+CMCT	-5.63	1	
1488.70778	4	49498507.21023698	c18+CMCT	-0.78	1	
1488.95797	4	44229833.137440085	w18+CMCT	-5.97	1	
1488.95797	4	62201172.45432945	c18+CMCT	-1.1	1	
1489.2079	4	55612812.13065702	w18+CMCT	-6.46	1	
1489.2079	4	55994068.98914179	c18+CMCT	-1.59	1	
1489.4593	4	40107033.95042267	c18+CMCT	-1.07	1	
1489.4593	4	50065010.95604682	w18+CMCT	-5.95	1	
1489.70915	4	24171922.52608401	c18+CMCT	-1.59	1	
1489.70915	4	35848014.35420765	w18+CMCT	-6.48	1	
1492.18587	4	26196365.927588828	y19	-0.42	1	
1492.18587	4	53563308.54919381	a19	4.42	1	
1492.43566	4	58966429.189770445	y19	-1.02	1	
1492.43566	4	66577251.062326625	a19	3.84	1	
1492.68644	4	59447248.39928851	a19	3.93	1	
